[2026-07-03T14:23:03.129Z] GET http://localhost:5285/api/posts?sortBy=date&sortOrder=desc&page=1&pageSize=50&culture=en → pending (?ms, ?B)
[2026-07-03T14:23:03.129Z] GET http://localhost:5285/api/posts/enums?culture=en → pending (?ms, ?B)
[2026-07-03T14:23:04.140Z] GET http://localhost:5285/api/posts?sortBy=date&sortOrder=desc&page=1&pageSize=50&culture=en → pending (?ms, ?B)
[2026-07-03T14:23:04.141Z] GET http://localhost:5285/api/posts/enums?culture=en → pending (?ms, ?B)
[2026-07-03T14:23:06.145Z] GET http://localhost:5285/api/posts?sortBy=date&sortOrder=desc&page=1&pageSize=50&culture=en → pending (?ms, ?B)
[2026-07-03T14:23:06.145Z] GET http://localhost:5285/api/posts/enums?culture=en → pending (?ms, ?B)
[2026-07-03T14:24:44.761Z] GET http://localhost:3000/en → pending (?ms, ?B)
[2026-07-03T14:24:44.800Z] GET http://localhost:3000/_next/static/media/e4af272ccee01ff0-s.p.woff2 → 200 (?ms, -300B)
[2026-07-03T14:24:44.800Z] GET http://localhost:3000/_next/static/chunks/webpack.js → 200 (3ms, 10540B)
[2026-07-03T14:24:44.801Z] GET http://localhost:3000/_next/static/chunks/main-app.js → 200 (111ms, 1344213B)
[2026-07-03T14:24:44.801Z] GET http://localhost:3000/_next/static/chunks/app-pages-internals.js → 200 (4ms, 31424B)
[2026-07-03T14:24:44.923Z] GET http://localhost:3000/_next/static/css/app/layout.css?v=1783088684777 → 200 (3ms, 15019B)
[2026-07-03T14:24:44.923Z] GET http://localhost:3000/_next/static/chunks/app/%5Blocale%5D/page.js → 200 (25ms, 304111B)
[2026-07-03T14:24:44.924Z] GET http://localhost:3000/_next/static/chunks/app/layout.js → 200 (14ms, 144118B)
[2026-07-03T14:24:44.924Z] GET http://localhost:3000/_next/static/chunks/app/error.js → 200 (5ms, 38399B)
[2026-07-03T14:24:44.924Z] GET http://localhost:3000/_next/static/chunks/app/%5Blocale%5D/not-found.js → 200 (7ms, 51129B)
[2026-07-03T14:24:44.924Z] GET http://localhost:3000/_next/static/chunks/app/%5Blocale%5D/error.js → 200 (7ms, 41348B)
[2026-07-03T14:24:44.967Z] GET http://localhost:5285/api/posts?sortBy=date&sortOrder=desc&page=1&pageSize=50&culture=en → pending (?ms, ?B)
[2026-07-03T14:24:44.967Z] GET http://localhost:5285/api/posts/enums?culture=en → pending (?ms, ?B)
[2026-07-03T14:24:45.975Z] GET http://localhost:5285/api/posts?sortBy=date&sortOrder=desc&page=1&pageSize=50&culture=en → pending (?ms, ?B)
[2026-07-03T14:24:45.975Z] GET http://localhost:5285/api/posts/enums?culture=en → pending (?ms, ?B)
[2026-07-03T14:24:47.980Z] GET http://localhost:5285/api/posts?sortBy=date&sortOrder=desc&page=1&pageSize=50&culture=en → pending (?ms, ?B)
[2026-07-03T14:24:47.980Z] GET http://localhost:5285/api/posts/enums?culture=en → pending (?ms, ?B)
[2026-07-03T14:26:34.327Z] GET http://localhost:3000/en → 500 (31ms, 4361B)
[2026-07-03T14:26:34.364Z] GET http://localhost:3000/_next/static/media/e4af272ccee01ff0-s.p.woff2 → 200 (1ms, -300B)
[2026-07-03T14:26:34.365Z] GET http://localhost:3000/_next/static/chunks/webpack.js → 200 (3ms, 10540B)
[2026-07-03T14:26:34.365Z] GET http://localhost:3000/_next/static/chunks/main-app.js → 200 (110ms, 1344213B)
[2026-07-03T14:26:34.365Z] GET http://localhost:3000/_next/static/chunks/app-pages-internals.js → 200 (5ms, 31424B)
[2026-07-03T14:26:34.493Z] GET http://localhost:3000/_next/static/css/app/layout.css?v=1783088794343 → 200 (3ms, 15019B)
[2026-07-03T14:26:34.493Z] GET http://localhost:3000/_next/static/chunks/app/%5Blocale%5D/page.js → 200 (26ms, 304111B)
[2026-07-03T14:26:34.493Z] GET http://localhost:3000/_next/static/chunks/app/layout.js → 200 (16ms, 144118B)
[2026-07-03T14:26:34.493Z] GET http://localhost:3000/_next/static/chunks/app/error.js → 200 (7ms, 38399B)
[2026-07-03T14:26:34.495Z] GET http://localhost:3000/_next/static/chunks/app/%5Blocale%5D/not-found.js → 200 (6ms, 51129B)
[2026-07-03T14:26:34.495Z] GET http://localhost:3000/_next/static/chunks/app/%5Blocale%5D/error.js → 200 (6ms, 41348B)
[2026-07-03T14:26:34.543Z] GET http://localhost:5285/api/posts?sortBy=date&sortOrder=desc&page=1&pageSize=50&culture=en → 200 (122ms, 44880B)
[2026-07-03T14:26:34.543Z] GET http://localhost:5285/api/posts/enums?culture=en → 404 (17ms, ?B)
[2026-07-03T14:26:35.566Z] GET http://localhost:5285/api/posts/enums?culture=en → 404 (10ms, ?B)
[2026-07-03T14:26:37.578Z] GET http://localhost:5285/api/posts/enums?culture=en → 404 (1ms, ?B)
